route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
QM21,BPPD6-BP_D6-Weekday-04,47343855-BPPD6-BP_D6-Weekday-04,"MIDTOWN 57 ST via MADISON AV",1,8481619,QM210060
QM21,BPPD6-BP_D6-Weekday-04,47343856-BPPD6-BP_D6-Weekday-04,"MIDTOWN 57 ST via MADISON AV",1,8481622,QM210060
QM21,BPPD6-BP_D6-Weekday-04,47343857-BPPD6-BP_D6-Weekday-04,"MIDTOWN 57 ST via MADISON AV",1,8481620,QM210060
QM21,BPPD6-BP_D6-Weekday-04,47343858-BPPD6-BP_D6-Weekday-04,"MIDTOWN 57 ST via MADISON AV",1,8481625,QM210060
QM21,BPPD6-BP_D6-Weekday-04,47343859-BPPD6-BP_D6-Weekday-04,"MIDTOWN 57 ST via MADISON AV",1,8481628,QM210060
QM21,BPPD6-BP_D6-Weekday-04,47343860-BPPD6-BP_D6-Weekday-04,"MIDTOWN 57 ST via MADISON AV",1,8481630,QM210060
QM21,BPPD6-BP_D6-Weekday-04,47343861-BPPD6-BP_D6-Weekday-04,"ROCHDALE VILLAGE via BREWER BL",0,8481623,QM210061
QM21,BPPD6-BP_D6-Weekday-04,47343862-BPPD6-BP_D6-Weekday-04,"ROCHDALE VILLAGE via BREWER BL",0,8481632,QM210061
QM21,BPPD6-BP_D6-Weekday-04,47343863-BPPD6-BP_D6-Weekday-04,"ROCHDALE VILLAGE via BREWER BL",0,8481626,QM210061
QM21,BPPD6-BP_D6-Weekday-04,47343864-BPPD6-BP_D6-Weekday-04,"ROCHDALE VILLAGE via BREWER BL",0,8481629,QM210061
QM21,BPPD6-BP_D6-Weekday-04,47343865-BPPD6-BP_D6-Weekday-04,"ROCHDALE VILLAGE via BREWER BL",0,8481624,QM210061
QM21,BPPD6-BP_D6-Weekday-04,47343866-BPPD6-BP_D6-Weekday-04,"ROCHDALE VILLAGE via BREWER BL",0,8481631,QM210061
QM21,BPPD6-BP_D6-Weekday-04,47343867-BPPD6-BP_D6-Weekday-04,"ROCHDALE VILLAGE via BREWER BL",0,8481621,QM210061
QM21,BPPD6-BP_D6-Weekday-04,47343868-BPPD6-BP_D6-Weekday-04,"ROCHDALE VILLAGE via BREWER BL",0,8481627,QM210061
Q111,BPPD6-BP_D6-Weekday-04,47343869-BPPD6-BP_D6-Weekday-04,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8481635,Q1110299
Q111,BPPD6-BP_D6-Weekday-04,47343870-BPPD6-BP_D6-Weekday-04,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8481635,Q1110298
Q111,BPPD6-BP_D6-Weekday-04,47343871-BPPD6-BP_D6-Weekday-04,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8481606,Q1110299
Q111,BPPD6-BP_D6-Weekday-04,47343872-BPPD6-BP_D6-Weekday-04,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8481734,Q1110298
Q111,BPPD6-BP_D6-Weekday-04,47343873-BPPD6-BP_D6-Weekday-04,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8481633,Q1110298
Q111,BPPD6-BP_D6-Weekday-04,47343874-BPPD6-BP_D6-Weekday-04,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8481752,Q1110298
Q111,BPPD6-BP_D6-Weekday-04,47343875-BPPD6-BP_D6-Weekday-04,"RUSH ROSEDALE F. LEWIS BL via BREWER BL via 147 AV",1,8481606,Q1110299
Q111,BPPD6-BP_D6-Weekday-04,47343876-BPPD6-BP_D6-Weekday-04,"RUSH JAMAICA PARSONS-HILLSIDE via 147 AV via BREWER BL",0,8481606,Q1110298
