route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
M60+,MQ_O6-Weekday,MQ_O6-Weekday-009000_SBS60_901,SELECT BUS LA GUARDIA AIRPORT,0,39855329,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-013000_SBS60_901,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855329,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-019000_SBS60_901,SELECT BUS LA GUARDIA AIRPORT,0,39855329,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-022800_SBS60_901,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855329,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-029500_SBS60_906,SELECT BUS LA GUARDIA AIRPORT,0,39855337,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-033600_SBS60_906,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855337,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-042700_SBS60_908,SELECT BUS LA GUARDIA AIRPORT,0,39855334,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-048100_SBS60_908,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855334,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-012000_SBS60_902,SELECT BUS LA GUARDIA AIRPORT,0,39855330,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-016000_SBS60_902,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855330,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-021000_SBS60_902,SELECT BUS LA GUARDIA AIRPORT,0,39855330,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-024800_SBS60_902,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855330,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-033700_SBS60_902,SELECT BUS LA GUARDIA AIRPORT,0,39855330,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-037900_SBS60_902,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855330,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-046700_SBS60_914,SELECT BUS LA GUARDIA AIRPORT,0,39855338,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-051100_SBS60_912,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855335,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-015000_SBS60_903,SELECT BUS LA GUARDIA AIRPORT,0,39855331,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-018800_SBS60_903,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855331,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-025000_SBS60_903,SELECT BUS LA GUARDIA AIRPORT,0,39855331,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-028800_SBS60_903,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855331,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-036700_SBS60_911,SELECT BUS LA GUARDIA AIRPORT,0,39855336,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-041300_SBS60_911,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855336,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-049700_SBS60_903,SELECT BUS LA GUARDIA AIRPORT,0,39855331,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-056100_SBS60_916,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855339,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-017000_SBS60_904,SELECT BUS LA GUARDIA AIRPORT,0,39855346,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-020800_SBS60_904,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855346,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-147600_SBS60_929,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855349,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-131500_SBS60_928,SELECT BUS LA GUARDIA AIRPORT,0,39855340,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-120700_SBS60_931,SELECT BUS LA GUARDIA AIRPORT,0,39855340,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-125700_SBS60_931,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855340,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-023000_SBS60_905,SELECT BUS LA GUARDIA AIRPORT,0,39855332,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-026800_SBS60_905,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855332,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-032700_SBS60_905,SELECT BUS LA GUARDIA AIRPORT,0,39855332,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-036900_SBS60_905,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855332,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-050100_SBS60_902,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855330,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-108300_SBS60_931,SELECT BUS LA GUARDIA AIRPORT,0,39855340,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-154000_SBS60_933,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855342,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-073100_SBS60_920,SELECT BUS LA GUARDIA AIRPORT,0,39855338,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-078500_SBS60_920,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855338,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-086300_SBS60_920,SELECT BUS LA GUARDIA AIRPORT,0,39855338,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-092100_SBS60_920,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855338,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-101300_SBS60_923,SELECT BUS LA GUARDIA AIRPORT,0,39855345,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-107600_SBS60_923,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855345,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-114700_SBS60_922,SELECT BUS LA GUARDIA AIRPORT,0,39855345,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-120000_SBS60_922,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855345,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-125500_SBS60_926,SELECT BUS LA GUARDIA AIRPORT,0,39855338,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-130500_SBS60_926,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855338,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-139000_SBS60_933,SELECT BUS LA GUARDIA AIRPORT,0,39855342,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-026500_SBS60_904,SELECT BUS LA GUARDIA AIRPORT,0,39855346,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-030300_SBS60_904,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855346,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-143500_SBS60_929,SELECT BUS LA GUARDIA AIRPORT,0,39855349,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-136100_SBS60_928,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855340,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-055100_SBS60_903,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855331,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-062300_SBS60_913,SELECT BUS LA GUARDIA AIRPORT,0,39855336,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-067700_SBS60_913,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855336,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-076700_SBS60_921,SELECT BUS LA GUARDIA AIRPORT,0,39855339,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-082300_SBS60_921,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855339,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-089300_SBS60_914,SELECT BUS LA GUARDIA AIRPORT,0,39855339,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-095100_SBS60_914,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855339,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-105300_SBS60_920,SELECT BUS LA GUARDIA AIRPORT,0,39855337,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-111100_SBS60_920,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855337,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-028000_SBS60_901,SELECT BUS LA GUARDIA AIRPORT,0,39855329,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-031800_SBS60_901,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855329,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-037700_SBS60_903,SELECT BUS LA GUARDIA AIRPORT,0,39855331,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-042500_SBS60_903,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855331,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-050700_SBS60_916,SELECT BUS LA GUARDIA AIRPORT,0,39855339,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-063500_SBS60_916,SELECT BUS LA GUARDIA AIRPORT,0,39855339,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-068900_SBS60_916,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855339,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-127000_SBS60_932,SELECT BUS LA GUARDIA AIRPORT,0,39855339,SBS600010
M60+,MQ_O6-Weekday,MQ_O6-Weekday-121200_SBS60_928,SELECT BUS WEST SIDE BROADWAY-106 ST,1,39855339,SBS600011
M60+,MQ_O6-Weekday,MQ_O6-Weekday-091300_SBS60_915,SELECT BUS LA GUARDIA AIRPORT,0,39855337,SBS600010
