route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q76,CS_O6-Weekday,CS_O6-Weekday-096700_MISC_683,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806791,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-098200_Q76_506,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39756994,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-099700_MISC_670,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806794,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-101200_MISC_656,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806806,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-102700_MISC_727,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806814,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-104200_MISC_668,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39768870,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-107200_MISC_654,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806787,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-108700_MISC_709,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39768869,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-110500_MISC_711,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806801,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-112500_MISC_683,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806791,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-114500_MISC_705,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806797,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-117000_MISC_692,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806808,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-122500_MISC_724,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806816,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-129000_MISC_705,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806797,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-132500_MISC_718,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806809,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-137500_MISC_724,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,39806816,Q760226
Q76,CS_O6-Weekday,CS_O6-Weekday-083000_Q76_502,COLLEGE POINT,0,39806786,Q760229
Q76,CS_O6-Weekday,CS_O6-Weekday-094300_MISC_701,COLLEGE POINT,0,39806807,Q760229
Q76,CS_O6-Weekday,CS_O6-Weekday-095800_MISC_668,COLLEGE POINT,0,39768870,Q760229
Q76,CS_O6-Weekday,CS_O6-Weekday-116000_MISC_709,COLLEGE POINT,0,39768869,Q760229
Q76,CS_O6-Weekday,CS_O6-Weekday-118000_MISC_711,COLLEGE POINT,0,39806801,Q760229
Q76,CS_O6-Weekday,CS_O6-Weekday-120000_MISC_683,COLLEGE POINT,0,39806791,Q760229
