route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM34,CA_S6-Weekday,CA_S6-Weekday-031000_MISC_241,SOHO HOUSTON ST via CHURCH ST,0,39915397,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-033000_MISC_253,SOHO HOUSTON ST via CHURCH ST,0,39915398,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-035000_MISC_262,SOHO HOUSTON ST via CHURCH ST,0,39915399,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-039000_MISC_294,SOHO HOUSTON ST via CHURCH ST,0,39915401,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-041000_MISC_230,SOHO HOUSTON ST via CHURCH ST,0,39915396,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-043000_MISC_241,SOHO HOUSTON ST via CHURCH ST,0,39915397,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-045000_MISC_253,SOHO HOUSTON ST via CHURCH ST,0,39915398,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-049000_MISC_339,SOHO HOUSTON ST via CHURCH ST,0,39915426,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-054000_MISC_294,SOHO HOUSTON ST via CHURCH ST,0,39915401,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-047000_MISC_262,SOHO HOUSTON ST via CHURCH ST,0,39915399,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-051000_MISC_343,SOHO HOUSTON ST via CHURCH ST,0,39915402,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-092000_MISC_332,MARINERS HARBOR via WATCHOGUE RD,1,39915404,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-098000_MISC_315,MARINERS HARBOR via WATCHOGUE RD,1,39915407,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-106000_MISC_332,MARINERS HARBOR via WATCHOGUE RD,1,39915404,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-110500_MISC_438,MARINERS HARBOR via WATCHOGUE RD,1,39915424,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-089500_MISC_321,MARINERS HARBOR via WATCHOGUE RD,1,39915403,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-094000_MISC_292,MARINERS HARBOR via WATCHOGUE RD,1,39915405,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-096000_MISC_304,MARINERS HARBOR via WATCHOGUE RD,1,39915406,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-104000_MISC_321,MARINERS HARBOR via WATCHOGUE RD,1,39915403,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-108000_MISC_434,MARINERS HARBOR via WATCHOGUE RD,1,39915425,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-037000_MISC_278,SOHO HOUSTON ST via CHURCH ST,0,39915400,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-028000_MISC_230,SOHO HOUSTON ST via CHURCH ST,0,39915396,SIM340091
SIM34,CA_S6-Weekday,CA_S6-Weekday-102000_MISC_419,MARINERS HARBOR via WATCHOGUE RD,1,39915409,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-100000_MISC_412,MARINERS HARBOR via WATCHOGUE RD,1,39915408,SIM340099
SIM34,CA_S6-Weekday,CA_S6-Weekday-114000_MISC_412,MARINERS HARBOR via WATCHOGUE RD,1,39915408,SIM340099
SIM35,CA_S6-Weekday,CA_S6-Weekday-046500_MISC_266,DOWNTOWN FRANKFORT ST via WATER ST,0,39915411,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-096500_SIM35_215,PORT RICHMOND via CLOVE RD,1,39915419,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-108500_SIM35_215,PORT RICHMOND via CLOVE RD,1,39915419,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-036500_MISC_282,DOWNTOWN FRANKFORT ST via WATER ST,0,39915412,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-104500_MISC_310,PORT RICHMOND via CLOVE RD,1,39915417,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-040500_SIM35_215,DOWNTOWN FRANKFORT ST via WATER ST,0,39915414,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-034500_MISC_266,DOWNTOWN FRANKFORT ST via WATER ST,0,39915411,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-092000_MISC_310,PORT RICHMOND via CLOVE RD,1,39915417,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-048500_MISC_282,DOWNTOWN FRANKFORT ST via WATER ST,0,39915412,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-054000_SIM35_215,DOWNTOWN FRANKFORT ST via WATER ST,0,39915414,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-038500_MISC_295,DOWNTOWN FRANKFORT ST via WATER ST,0,39915413,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-042500_MISC_248,DOWNTOWN FRANKFORT ST via WATER ST,0,39915410,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-031500_MISC_248,DOWNTOWN FRANKFORT ST via WATER ST,0,39915410,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-111500_MISC_317,PORT RICHMOND via CLOVE RD,1,39915420,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-051000_MISC_344,DOWNTOWN FRANKFORT ST via WATER ST,0,39915416,SIM350203
SIM35,CA_S6-Weekday,CA_S6-Weekday-094500_MISC_307,PORT RICHMOND via CLOVE RD,1,39915418,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-098500_MISC_317,PORT RICHMOND via CLOVE RD,1,39915420,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-114500_MISC_350,PORT RICHMOND via CLOVE RD,1,39915422,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-100500_MISC_323,PORT RICHMOND via CLOVE RD,1,39915421,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-102500_MISC_350,PORT RICHMOND via CLOVE RD,1,39915422,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-106500_MISC_307,PORT RICHMOND via CLOVE RD,1,39915418,SIM350204
SIM35,CA_S6-Weekday,CA_S6-Weekday-044500_MISC_329,DOWNTOWN FRANKFORT ST via WATER ST,0,39915415,SIM350203
SIM32,CA_S6-Weekday,CA_S6-Weekday-040500_MISC_303,DOWNTOWN WORTH ST via CHURCH ST,0,39915364,SIM320078
SIM32,CA_S6-Weekday,CA_S6-Weekday-051500_MISC_284,DOWNTOWN WORTH ST via CHURCH ST,0,39915363,SIM320078
SIM32,CA_S6-Weekday,CA_S6-Weekday-095500_MISC_404,TRAVIS via N GANNON AV via VICTORY BL,1,39915368,SIM320096
SIM32,CA_S6-Weekday,CA_S6-Weekday-098500_MISC_410,TRAVIS via N GANNON AV via VICTORY BL,1,39915369,SIM320096
SIM32,CA_S6-Weekday,CA_S6-Weekday-100500_MISC_330,TRAVIS via N GANNON AV via VICTORY BL,1,39915370,SIM320096
SIM32,CA_S6-Weekday,CA_S6-Weekday-102500_MISC_422,TRAVIS via N GANNON AV via VICTORY BL,1,39915371,SIM320096
SIM32,CA_S6-Weekday,CA_S6-Weekday-108500_MISC_437,TRAVIS via N GANNON AV via VICTORY BL,1,39915373,SIM320096
SIM32,CA_S6-Weekday,CA_S6-Weekday-106500_MISC_404,TRAVIS via N GANNON AV via VICTORY BL,1,39915368,SIM320096
SIM32,CA_S6-Weekday,CA_S6-Weekday-111500_MISC_330,TRAVIS via N GANNON AV via VICTORY BL,1,39915370,SIM320096
SIM32,CA_S6-Weekday,CA_S6-Weekday-104500_MISC_427,TRAVIS via N GANNON AV via VICTORY BL,1,39915372,SIM320096
SIM32,CA_S6-Weekday,CA_S6-Weekday-044500_MISC_322,DOWNTOWN WORTH ST via CHURCH ST,0,39915366,SIM320078
SIM32,CA_S6-Weekday,CA_S6-Weekday-038500_MISC_284,DOWNTOWN WORTH ST via CHURCH ST,0,39915363,SIM320078
SIM32,CA_S6-Weekday,CA_S6-Weekday-046500_MISC_333,DOWNTOWN WORTH ST via CHURCH ST,0,39915367,SIM320078
SIM32,CA_S6-Weekday,CA_S6-Weekday-042500_MISC_312,DOWNTOWN WORTH ST via CHURCH ST,0,39915365,SIM320078
SIM32,CA_S6-Weekday,CA_S6-Weekday-048500_MISC_271,DOWNTOWN WORTH ST via CHURCH ST,0,39915362,SIM320078
SIM32,CA_S6-Weekday,CA_S6-Weekday-036500_MISC_271,DOWNTOWN WORTH ST via CHURCH ST,0,39915362,SIM320078
SIM32,CA_S6-Weekday,CA_S6-Weekday-114500_MISC_422,TRAVIS via N GANNON AV via VICTORY BL,1,39915371,SIM320096
SIM30,CA_S6-Weekday,CA_S6-Weekday-040000_MISC_301,MIDTOWN via 42 ST via MADISON AV,0,39915383,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-042500_MISC_300,MIDTOWN via 42 ST via MADISON AV,0,39915382,SIM300129
SIM30,CA_S6-Weekday,CA_S6-Weekday-097000_MISC_401,SUNNYSIDE via FOREST AV,1,39915390,SIM300127
SIM30,CA_S6-Weekday,CA_S6-Weekday-102500_MISC_345,ROSEBANK via FOREST AV,1,39915325,SIM300130
SIM30,CA_S6-Weekday,CA_S6-Weekday-104000_SIM30_180,SUNNYSIDE via FOREST AV,1,39915392,SIM300127
SIM30,CA_S6-Weekday,CA_S6-Weekday-105500_MISC_402,ROSEBANK via FOREST AV,1,39915326,SIM300130
SIM30,CA_S6-Weekday,CA_S6-Weekday-107000_MISC_348,SUNNYSIDE via FOREST AV,1,39915393,SIM300127
SIM30,CA_S6-Weekday,CA_S6-Weekday-108500_MISC_359,ROSEBANK via FOREST AV,1,39915341,SIM300130
SIM30,CA_S6-Weekday,CA_S6-Weekday-110000_MISC_347,SUNNYSIDE via FOREST AV,1,39915394,SIM300127
SIM30,CA_S6-Weekday,CA_S6-Weekday-035000_MISC_263,MIDTOWN via 42 ST via MADISON AV,0,39915377,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-095000_MISC_394,SUNNYSIDE via FOREST AV,1,39915389,SIM300127
SIM30,CA_S6-Weekday,CA_S6-Weekday-040500_MISC_285,MIDTOWN via 42 ST via MADISON AV,0,39915380,SIM300129
SIM30,CA_S6-Weekday,CA_S6-Weekday-033500_MISC_256,MIDTOWN via 42 ST via MADISON AV,0,39915375,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-048500_SIM30_180,MIDTOWN via 42 ST via MADISON AV,0,39915388,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-046000_MISC_334,MIDTOWN via 42 ST via MADISON AV,0,39915387,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-112000_MISC_439,SUNNYSIDE via FOREST AV,1,39915395,SIM300127
SIM30,CA_S6-Weekday,CA_S6-Weekday-114000_MISC_425,SUNNYSIDE via FOREST AV,1,39915344,SIM300127
SIM30,CA_S6-Weekday,CA_S6-Weekday-036500_MISC_276,MIDTOWN via 42 ST via MADISON AV,0,39915379,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-036500_MISC_259,MIDTOWN via 42 ST via MADISON AV,0,39915376,SIM300129
SIM30,CA_S6-Weekday,CA_S6-Weekday-042000_MISC_314,MIDTOWN via 42 ST via MADISON AV,0,39915385,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-031500_MISC_245,MIDTOWN via 42 ST via MADISON AV,0,39915374,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-038500_MISC_273,MIDTOWN via 42 ST via MADISON AV,0,39915378,SIM300129
SIM30,CA_S6-Weekday,CA_S6-Weekday-044300_MISC_310,MIDTOWN via 42 ST via MADISON AV,0,39915384,SIM300129
SIM30,CA_S6-Weekday,CA_S6-Weekday-038000_MISC_286,MIDTOWN via 42 ST via MADISON AV,0,39915381,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-044000_MISC_324,MIDTOWN via 42 ST via MADISON AV,0,39915386,SIM300128
SIM30,CA_S6-Weekday,CA_S6-Weekday-101000_MISC_409,SUNNYSIDE via FOREST AV,1,39915391,SIM300127
SIM30,CA_S6-Weekday,CA_S6-Weekday-099000_MISC_379,ROSEBANK via FOREST AV,1,39915324,SIM300130
S40,CA_S6-Weekday,CA_S6-Weekday-006000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915262,S400047
S40,CA_S6-Weekday,CA_S6-Weekday-012000_S4090_3,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915264,S400047
S40,CA_S6-Weekday,CA_S6-Weekday-018000_S4090_2,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915263,S400047
S40,CA_S6-Weekday,CA_S6-Weekday-024000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915262,S400047
S40,CA_S6-Weekday,CA_S6-Weekday-030000_MISC_224,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915441,S400047
S40,CA_S6-Weekday,CA_S6-Weekday-033000_MISC_227,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915446,S400047
S40,CA_S6-Weekday,CA_S6-Weekday-036000_MISC_264,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915445,S400047
S40,CA_S6-Weekday,CA_S6-Weekday-039000_MISC_224,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915441,S400047
S40,CA_S6-Weekday,CA_S6-Weekday-040500_MISC_261,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,39915435,S400047
